"Date","S_level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3","natlev_m","natlev_ft"
"1855-05-01",4204.37844311377,4204.37844311377,1281.49454946108,1281.49454946108,3339355447.40138,1762353268.48494,16133726572.6496,9208227064.01958,25341953636.6692,1281.49454946108,4204.37844311378
"1855-06-01",4204.56407185629,4204.56407185629,1281.5511291018,1281.5511291018,3363201505.58707,1777712167.78794,16323031668.7232,9307986977.02521,25631018645.7484,1281.5511291018,4204.5640718563
"1855-07-01",4204.34825174825,4204.34825174825,1281.48534713287,1281.48534713287,3335275761.58911,1759419466.53454,16103123782.6828,9192120630.35727,25295244413.0401,1281.48534713287,4204.34825174826
"1855-08-01",4204.02307692308,4204.02307692308,1281.38623384615,1281.38623384615,3291335678.12192,1727821076.72986,15773517727.8672,9018646967.91218,24792164695.7793,1281.38623384615,4204.02307692306
"1855-09-01",4203.6979020979,4203.6979020979,1281.28712055944,1281.28712055944,3258883731.71273,1709418879.57869,15449422927.5319,8848751950.95094,24298174878.4828,1281.28712055944,4203.6979020979
"1855-10-01",4203.38321678322,4203.38321678322,1281.19120447552,1281.19120447552,3226355278.04823,1690627550.87797,15138126951.4553,8685788701.00433,23823915652.4596,1281.19120447552,4203.3832167832
"1855-11-01",4203.11991701245,4203.11991701245,1281.11095070539,1281.11095070539,3196341514.02417,1672128063.98913,14880409154.6235,8551118681.19179,23431527835.8153,1281.11095070539,4203.11991701243
"1855-12-01",4203.26929460581,4203.26929460581,1281.15648099585,1281.15648099585,3213369192.49459,1682623359.22629,15026619932.3533,8627520887.69729,23654140820.0506,1281.15648099585,4203.26929460581
"1856-01-01",4203.42365145228,4203.42365145228,1281.20352896266,1281.20352896266,3230964460.24785,1693468497.63833,15177704402.6784,8706469834.42184,23884174237.1002,1281.20352896266,4203.4236514523
"1856-02-01",4203.57800829876,4203.57800829876,1281.25057692946,1281.25057692946,3247242078.89377,1703005556.2724,15330082564.2234,8786211488.8743,24116294053.0977,1281.25057692946,4203.57800829875
"1856-03-01",4203.722406639,4203.722406639,1281.29458954357,1281.29458954357,3261263115.48499,1710729669.1752,15473814354.4406,8861534307.79395,24335348662.2346,1281.29458954357,4203.72240663901
"1856-04-01",4203.87676348548,4203.87676348548,1281.34163751037,1281.34163751037,3276251120.11465,1718986479.51829,15627458681.8904,8942051803.86798,24569510485.7584,1281.34163751037,4203.87676348547
"1856-05-01",4204.02614107884,4204.02614107884,1281.38716780083,1281.38716780083,3291749730.04122,1728118831.60225,15776623639.5733,9020281628.04972,24796905267.623,1281.38716780083,4204.02614107884
"1856-06-01",4204.18049792531,4204.18049792531,1281.43421576763,1281.43421576763,3312607595.38465,1743118233.23305,15933083941.085,9102627632.11712,25035711573.2021,1281.43421576763,4204.18049792529
"1856-07-01",4204.25555555556,4204.25555555556,1281.45709333333,1281.45709333333,3322749950.45789,1750411849.08111,16009164398.345,9142669237.4474,25151833635.7924,1281.45709333333,4204.25555555554
"1856-08-01",4204.02592592593,4204.02592592593,1281.38710222222,1281.38710222222,3291720656.95029,1728097924.43076,15776405554.7166,9020166848.66912,24796572403.3858,1281.38710222222,4204.02592592592
"1856-09-01",4203.7962962963,4203.7962962963,1281.31711111111,1281.31711111111,3268437779.58881,1714682152.66078,15547362933.3307,8900077529.72947,24447440463.0602,1281.31711111111,4203.79629629629
"1856-10-01",4203.57407407407,4203.57407407407,1281.24937777778,1281.24937777778,3246860066.82915,1702795107.9009,15326166500.1311,8784159270.73901,24110325770.8701,1281.24937777778,4203.57407407408
"1856-11-01",4203.34444444444,4203.34444444444,1281.17938666667,1281.17938666667,3221935586.29385,1687903399.73194,15100176589.0582,8665957800.23327,23766134389.2915,1281.17938666667,4203.34444444446
"1856-12-01",4203.12222222222,4203.12222222222,1281.11165333333,1281.11165333333,3196604286.84036,1672290028.42198,14882665493.7885,8552297727.58978,23434963221.3783,1281.11165333333,4203.12222222221
"1857-01-01",4203.19372384937,4203.19372384937,1281.13344702929,1281.13344702929,3204754817.92067,1677313744.96537,14952651281.3539,8588868688.20597,23541519969.5598,1281.13344702929,4203.19372384938
"1857-02-01",4203.29748953975,4203.29748953975,1281.16507481172,1281.16507481172,3216583156.91234,1684604340.10425,15054217131.6974,8641941759.78343,23696158891.4808,1281.16507481172,4203.29748953976
"1857-03-01",4203.39121338912,4203.39121338912,1281.193641841,1281.193641841,3227266817.93279,1691189393.77544,15145954028.745,8689878727.64062,23835832756.3857,1281.193641841,4203.39121338911
"1857-04-01",4203.4949790795,4203.4949790795,1281.22526962343,1281.22526962343,3239095156.92446,1698479988.91431,15247519879.0886,8742951799.21808,23990471678.3066,1281.22526962343,4203.49497907949
"1857-05-01",4203.59539748954,4203.59539748954,1281.25587715481,1281.25587715481,3248930564.23087,1703935733.67359,15347391485.6201,8795282250.11704,24142673735.7371,1281.25587715481,4203.59539748953
"1857-06-01",4203.69916317992,4203.69916317992,1281.28750493724,1281.28750493724,3259006182.40806,1709486337.00166,15450678188.3351,8849409771.8967,24300087960.2318,1281.28750493724,4203.69916317992
"1857-07-01",4203.79958158996,4203.79958158996,1281.31811246862,1281.31811246862,3268756780.64275,1714857888.60874,15550633061.9168,8901791244.57965,24452424306.4965,1281.31811246862,4203.79958158996
"1857-08-01",4203.87931034483,4203.87931034483,1281.3424137931,1281.3424137931,3276498419.4124,1719122715.35821,15629993784.809,8943380327.62599,24573374112.435,1281.3424137931,4203.87931034482
"1857-09-01",4203.23793103448,4203.23793103448,1281.14692137931,1281.14692137931,3209794032.41768,1680419749.34533,14995921270.979,8611479351.62054,23607400622.5996,1281.14692137931,4203.23793103448
