,time,value,days
433,1999-12-31,69.5743776,433
434,2000-01-01,92.3977184,434
435,2000-01-02,105.621664,435
436,2000-01-03,96.418704,436
437,2000-01-04,86.70604159999999,437
438,2000-01-05,83.6195104,438
439,2000-01-06,88.54663359999999,439
440,2000-01-07,98.3442464,440
441,2000-01-08,95.3709824,441
442,2000-01-09,84.9787168,442
443,2000-01-10,107.6604736,443
444,2000-01-11,81.1842656,444
445,2000-01-12,65.1003232,445
446,2000-01-13,66.119728,446
447,2000-01-14,76.2288256,447
448,2000-01-15,66.5161632,448
449,2000-01-16,57.7379552,449
450,2000-01-17,62.919929599999996,450
451,2000-01-18,61.6456736,451
452,2000-01-19,88.17851519999999,452
453,2000-01-20,66.6577472,453
454,2000-01-21,76.7102112,454
455,2000-01-22,65.5817088,455
456,2000-01-23,65.5817088,456
457,2000-01-24,68.0169536,457
458,2000-01-25,59.7767648,458
459,2000-01-26,58.615776,459
460,2000-01-27,57.2848864,460
461,2000-01-28,56.46086752,461
462,2000-01-29,54.33427584,462
463,2000-01-30,49.480776320000004,463
464,2000-01-31,48.4075696,464
465,2000-02-01,50.4180624,465
466,2000-02-02,51.33269504,466
467,2000-02-03,46.952086079999994,467
468,2000-02-04,47.3173728,468
469,2000-02-05,49.166459839999995,469
470,2000-02-06,50.53982464,470
471,2000-02-07,51.3383584,471
472,2000-02-08,48.5916288,472
473,2000-02-09,50.225508160000004,473
474,2000-02-10,51.4516256,474
475,2000-02-11,47.43064,475
476,2000-02-12,49.5827168,476
477,2000-02-13,62.183692799999996,477
478,2000-02-14,62.8349792,478
479,2000-02-15,65.8931936,479
480,2000-02-16,73.9634816,480
481,2000-02-17,71.2450688,481
482,2000-02-18,70.8769504,482
483,2000-02-19,64.5906208,483
484,2000-02-20,72.20784,484
485,2000-02-21,69.6876448,485
486,2000-02-22,76.7668448,486
487,2000-02-23,66.1480448,487
488,2000-02-24,71.5565536,488
489,2000-02-25,79.4852576,489
490,2000-02-26,77.7862496,490
491,2000-02-27,69.7442784,491
492,2000-02-28,72.3211072,492
493,2000-02-29,80.0232768,493
494,2000-03-01,71.1034848,494
495,2000-03-02,83.7894112,495
496,2000-03-03,69.17794239999999,496
497,2000-03-04,63.7128,497
498,2000-03-05,70.2539808,498
499,2000-03-06,71.7264544,499
500,2000-03-07,65.8931936,500
501,2000-03-08,64.9587392,501
502,2000-03-09,76.9367456,502
503,2000-03-10,78.0977344,503
504,2000-03-11,80.0799104,504
505,2000-03-12,76.0872416,505
506,2000-03-13,76.3987264,506
507,2000-03-14,81.693968,507
508,2000-03-15,71.3017024,508
509,2000-03-16,74.614768,509
510,2000-03-17,71.5565536,510
511,2000-03-18,78.012784,511
512,2000-03-19,68.2151712,512
513,2000-03-20,69.6310112,513
514,2000-03-21,73.765264,514
515,2000-03-22,75.6908064,515
516,2000-03-23,75.9173408,516
517,2000-03-24,76.2005088,517
518,2000-03-25,70.9052672,518
519,2000-03-26,64.70388799999999,519
520,2000-03-27,70.225664,520
521,2000-03-28,73.0007104,521
522,2000-03-29,76.6535776,522
523,2000-03-30,78.5224864,523
524,2000-03-31,73.9917984,524
525,2000-04-01,66.6294304,525
526,2000-04-02,63.995968,526
527,2000-04-03,71.3300192,527
528,2000-04-04,73.4254624,528
529,2000-04-05,71.6698208,529
530,2000-04-06,76.7102112,530
531,2000-04-07,80.561296,531
532,2000-04-08,83.70446079999999,532
533,2000-04-09,86.1397056,533
534,2000-04-10,77.3331808,534
535,2000-04-11,71.924672,535
536,2000-04-12,68.41338879999999,536
537,2000-04-13,66.261312,537
538,2000-04-14,74.4165504,538
539,2000-04-15,82.401888,539
540,2000-04-16,75.4076384,540
541,2000-04-17,77.1915968,541
542,2000-04-18,77.304864,542
543,2000-04-19,74.3599168,543
544,2000-04-20,71.2450688,544
545,2000-04-21,62.438544,545
546,2000-04-22,67.1674496,546
547,2000-04-23,65.2985408,547
548,2000-04-24,85.1769344,548
549,2000-04-25,81.9488192,549
550,2000-04-26,72.8591264,550
551,2000-04-27,58.5591424,551
552,2000-04-28,51.253408,552
553,2000-04-29,59.6634976,553
554,2000-04-30,69.1496256,554
555,2000-05-01,68.6116064,555
556,2000-05-02,63.0331968,556
557,2000-05-03,55.3876608,557
558,2000-05-04,43.2963872,558
559,2000-05-05,36.443721599999996,559
560,2000-05-06,22.65344,560
561,2000-05-07,21.6057184,561
562,2000-05-08,34.6314464,562
563,2000-05-09,32.7342208,563
