,sample_dt,mean_air_T(C),avg_wind(m/s),s_pres(kPa),dp_T(C),max_air_T(K),min_air_T(K),evap(m/d)
1950,2022-05-05,16.09259259259259,4.108513974851295,86.78263013645835,3.825231481481481,293.74259259259253,284.74259259259253,0.0052337895538668
1951,2022-05-06,18.11111111111111,4.350016597062303,86.47424656520835,4.262731481481483,294.7055555555555,287.8166666666666,0.0054133243093569
1952,2022-05-07,17.203703703703706,6.453157401998722,86.12171517520834,-0.7222222222222222,294.7796296296296,285.9277777777777,0.0072731726509585
1953,2022-05-08,14.407407407407408,5.668284373823867,85.692359330625,-2.4189814814814814,291.26111111111106,283.8537037037037,0.0060959973759709
1954,2022-05-09,8.592592592592593,6.316600830376938,86.278526168125,-9.717592592592592,285.11296296296297,278.3722222222222,0.005584838794269
1955,2022-05-10,10.851851851851851,5.395419107089337,86.57981763416669,-8.3125,287.0018518518518,281.0018518518518,0.0054329612818664
1956,2022-05-11,12.907407407407408,6.128819117815844,86.51069272354168,-4.091435185185185,289.2981481481481,282.81666666666666,0.0060103318220313
1957,2022-05-12,12.74074074074074,5.411231368025315,87.16672378145834,-7.454861111111111,289.9277777777777,281.8537037037037,0.0061246139476882
1958,2022-05-13,13.796296296296296,4.45718276124332,87.20809379166667,-3.2071759259259256,290.8537037037037,283.03888888888883,0.0054813532731776
1959,2022-05-14,17.944444444444443,4.0757073587854835,87.20982622562502,3.766203703703704,295.4092592592592,286.7796296296296,0.00570645566247
1960,2022-05-15,19.425925925925927,2.9308943431324868,87.09530734,5.144675925925926,296.9277777777777,288.22407407407405,0.0053146706505997
1961,2022-05-16,22.37037037037037,4.2332131530874495,86.51511462562502,6.1238425925925934,299.8537037037037,291.18703703703704,0.0065598335902757
1962,2022-05-17,22.81481481481482,4.737432500608405,86.93152804875001,3.498842592592593,299.7796296296296,292.15000000000003,0.0070277282822139
1963,2022-05-18,20.185185185185183,4.194341079959539,87.05566675395835,2.4016203703703702,297.63148148148144,289.03888888888883,0.0064024574828917
1964,2022-05-19,20.16666666666667,7.88750102648545,86.24635950749999,-1.0092592592592595,297.8537037037037,288.7796296296296,0.009331600080025
1965,2022-05-20,11.351851851851851,6.780440824757008,86.64942011333335,-5.652777777777779,288.2981481481481,280.7055555555555,0.0063740540172798
1966,2022-05-21,13.481481481481485,3.9678959863818233,87.06147051958334,-7.9675925925925934,289.81666666666666,283.4462962962963,0.0053024459187292
1967,2022-05-22,15.629629629629628,5.583120418660729,87.08319090791667,-2.480324074074074,291.5203703703704,286.0388888888889,0.0061460633905813
1968,2022-05-23,14.59259259259259,2.7144687469480786,87.15874474895836,-2.658564814814815,291.26111111111106,284.22407407407405,0.0046464053239241
1969,2022-05-24,21.38888888888889,2.5551876006879986,86.89081918421053,-2.328947368421053,295.9277777777777,293.15,0.0044990103882265
1970,2022-05-25,24.10185185185185,1.3929128062895213,86.64168806415073,1.3822434875066456,298.4648148148148,296.0388888888889,0.003653697900054
1971,2022-05-26,26.814814814814813,5.043107902432387,86.39255694409093,5.093434343434344,301.0018518518518,298.9277777777777,0.0065910108332489
1972,2022-05-27,24.0,4.864662243786792,86.55216675833333,5.519675925925927,301.33518518518514,292.9648148148148,0.0074646432390106
