,time,value,pred2
1740,2004-10-06,24.210864,14.490545473583019
1741,2004-10-07,18.6041376,14.735898893587859
1742,2004-10-08,14.2150336,14.979279032815494
1743,2004-10-09,13.7902816,15.220476461198853
1744,2004-10-10,14.51802336,15.459287568069495
1745,2004-10-11,15.007904,15.69551477910233
1746,2004-10-12,13.781786559999999,15.928966765155606
1747,2004-10-13,13.20412384,16.159458642765802
1748,2004-10-14,13.7619648,16.386812166067948
1749,2004-10-15,14.0451328,16.610855909921757
1750,2004-10-16,14.299984,16.83142544403478
1751,2004-10-17,14.299984,17.04836349788518
1752,2004-10-18,15.3193888,17.26152011625706
1753,2004-10-19,15.715824,17.470752805213554
1754,2004-10-20,27.8637312,17.675926668343905
1755,2004-10-21,30.7803616,17.87691453313264
1756,2004-10-22,47.113491839999995,18.073597067311262
1757,2004-10-23,44.8254944,18.265862885064372
1758,2004-10-24,49.7243008,18.45360864297519
1759,2004-10-25,26.49319808,18.636739125607175
1760,2004-10-26,34.5606544,18.815167320631232
1761,2004-10-27,36.81184,18.98881448342093
1762,2004-10-28,33.0173888,19.157610191050193
1763,2004-10-29,28.364938560000002,19.321492385641452
1764,2004-10-30,27.7787808,19.48040740702463
1765,2004-10-31,31.559073599999998,19.634310014680285
1766,2004-11-01,29.63919456,19.783163398953487
1767,2004-11-02,27.60888,19.926939181537414
1768,2004-11-03,39.785104,20.065617405239117
1769,2004-11-04,33.7253088,20.199186513052492
1770,2004-11-05,27.1274944,20.32764331657638
1771,2004-11-06,27.4389792,20.450992953828845
1772,2004-11-07,26.985910399999998,20.569248836521023
1773,2004-11-08,25.41999136,20.682432586867087
1774,2004-11-09,25.89854528,20.790573964019003
1775,2004-11-10,25.252922239999997,20.893710780227625
1776,2004-11-11,22.4976976,20.991888806843885
1777,2004-11-12,26.5611584,21.085161670285935
1778,2004-11-13,25.216110399999998,21.173590738110423
1779,2004-11-14,24.185378880000002,21.257244995337828
1780,2004-11-15,25.64369408,21.336200911193465
1781,2004-11-16,31.176796799999998,21.410542296437434
1782,2004-11-17,32.0829344,21.480360151467977
1783,2004-11-18,25.74563456,21.54575250539386
1784,2004-11-19,24.81684352,21.606824246282294
1785,2004-11-20,20.5721552,21.663686942799327
1786,2004-11-21,22.85448928,21.716458657470245
1787,2004-11-22,24.51951712,21.765263751797395
1788,2004-11-23,28.61978976,21.810232683482717
1789,2004-11-24,26.801851199999998,21.85150179601165
1790,2004-11-25,24.49969536,21.889213100864477
1791,2004-11-26,27.0708608,21.92351405262972
1792,2004-11-27,24.989576,21.954557317303028
1793,2004-11-28,25.53042688,21.98250053406291
1794,2004-11-29,26.150564799999998,22.007506070822764
1795,2004-11-30,28.77553216,22.029740773865864
1796,2004-12-01,22.63078656,22.04937571187733
1797,2004-12-02,28.7698688,22.066585914693576
1798,2004-12-03,28.325295039999997,22.081550107096305
1799,2004-12-04,29.460798720000003,22.09445043798395
1800,2004-12-05,28.5008592,22.105472205258994
1801,2004-12-06,27.15014784,22.114803576774772
1802,2004-12-07,26.75371264,22.122635307690217
1803,2004-12-08,28.3168,22.12916045458504
1804,2004-12-09,42.1070816,22.13457408669207
1805,2004-12-10,52.4993472,22.13907299460658
1806,2004-12-11,49.6393504,22.14285539683584
1807,2004-12-12,46.348938239999995,22.146120644554372
1808,2004-12-13,41.75595328,22.149068924932813
1809,2004-12-14,39.230094720000004,22.15190096340983
1810,2004-12-15,41.53508224,22.154817725277926
1811,2004-12-16,35.9481776,22.158020116954702
1812,2004-12-17,32.14239968,22.16170868731158
1813,2004-12-18,30.584975679999996,22.16608332943197
1814,2004-12-19,30.91911392,22.171342983170184
1815,2004-12-20,30.463213439999997,22.177685338881712
